category,item,variant,unit,pack_price_usd,unit_cost_usd,weight_lb,dims_in,ship_zone_example,carrier_service,ship_rate_low_usd,ship_rate_mid_usd,ship_rate_high_usd,packaging_cost_usd,cold_or_hot_media_usd,total_fulfill_cost_usd,menu_price_usd,customer_ship_charge_usd,gross_profit_usd,gross_margin_pct,notes,confidence,source_or_date
carrier_rate,dim_weight_note,USPS divisor 139 after Jul 12 2026,note,,,,foam kits often >1 cu ft,,,,,,,,,,,,,"Billable = max(actual, DIM). Foam 16x17x20 ≈ 5440 cu in / 139 ≈ 39 lb DIM — RIGHT-SIZE box. Prefer liner+small box for 1-plate to avoid DIM blowup.",sourced,EasyPost Jul 12 2026 DIM change
fulfill_1plate_cold,1plate_cold_liner_near_Z1,thermal liner + 2x32oz gel + USPS PME,shipment,,,6.0,12x10x6,LA local/near Z1-2,USPS Priority Mail Express,37.80,37.80,37.80,4.25,3.34,52.42,20.00,49.00,16.58,24.0,"Viable cold overnight: pack chilled plate, frozen gels on top, seal before cutoff. Fulfill=52.42; customer ship 49.00. Process: probe temp → pack → pickup.",estimate,model+USPS PME Jul 2026 rates
fulfill_1plate_cold,1plate_cold_liner_mid_Z4,thermal liner + 2x32oz gel + USPS PME,shipment,,,6.0,12x10x6,mid Z3-5 from 90012,USPS Priority Mail Express,65.85,65.85,65.85,4.25,3.34,80.47,20.00,65.00,4.53,5.3,"Viable cold overnight: pack chilled plate, frozen gels on top, seal before cutoff. Fulfill=80.47; customer ship 65.00. Process: probe temp → pack → pickup.",estimate,model+USPS PME Jul 2026 rates
fulfill_1plate_cold,1plate_cold_liner_far_Z8,thermal liner + 2x32oz gel + USPS PME,shipment,,,6.0,12x10x6,cross-country Z6-8,USPS Priority Mail Express,101.50,101.50,101.50,4.25,3.34,116.12,20.00,95.00,-1.12,-1.0,"Viable cold overnight: pack chilled plate, frozen gels on top, seal before cutoff. Fulfill=116.12; customer ship 95.00. Process: probe temp → pack → pickup.",estimate,model+USPS PME Jul 2026 rates
fulfill_1plate_cold,1plate_cold_foam_near_Z1,Uline foam kit + 2x32oz gel + overnight,shipment,,,9.0,15.75x13.8x8.75,LA local/near,USPS PME or UPS NDA,40.00,40.00,40.00,12.30,3.34,62.67,20.00,55.00,12.33,16.4,Proper Uline foam cold ship — primary durable pack. Watch DIM; right-size or use commercial rates. Fulfill=62.67.,estimate,Uline+carrier model 2026-09-22
fulfill_1plate_cold,1plate_cold_foam_mid_Z4,Uline foam kit + 2x32oz gel + overnight,shipment,,,9.0,15.75x13.8x8.75,mid zone,USPS PME or UPS NDA,75.00,75.00,75.00,12.30,3.34,97.67,20.00,69.00,-8.67,-9.7,Proper Uline foam cold ship — primary durable pack. Watch DIM; right-size or use commercial rates. Fulfill=97.67.,estimate,Uline+carrier model 2026-09-22
fulfill_1plate_cold,1plate_cold_foam_far_Z8,Uline foam kit + 2x32oz gel + overnight,shipment,,,9.0,15.75x13.8x8.75,far zone,USPS PME or UPS NDA,120.00,120.00,120.00,12.30,3.34,142.67,20.00,110.00,-12.67,-9.7,Proper Uline foam cold ship — primary durable pack. Watch DIM; right-size or use commercial rates. Fulfill=142.67.,estimate,Uline+carrier model 2026-09-22
fulfill_1plate_hot,1plate_hot_foam_near,Uline foam + 2x UniHeat-style,shipment,,,7.0,15.75x13.8x8.75,near Z1-2,USPS PME / UPS NDA / FedEx Priority,38.00,38.00,38.00,12.30,4.50,61.83,20.00,55.00,13.17,17.6,Viable HOT overnight: plate packed hot ≥135F into preheated foam with activated heat packs; seal; same-day carrier pickup before cutoff. Fulfill=61.83.,estimate,hot-ship BOM model 2026-09-22
fulfill_1plate_hot,1plate_hot_foam_mid,Uline foam + 2x UniHeat-style,shipment,,,7.0,15.75x13.8x8.75,mid Z3-5,USPS PME / UPS NDA / FedEx Priority,66.00,66.00,66.00,12.30,4.50,89.83,20.00,65.00,-4.83,-5.7,Viable HOT overnight: plate packed hot ≥135F into preheated foam with activated heat packs; seal; same-day carrier pickup before cutoff. Fulfill=89.83.,estimate,hot-ship BOM model 2026-09-22
fulfill_1plate_hot,1plate_hot_foam_far,Uline foam + 2-3 heat packs far,shipment,,,7.0,15.75x13.8x8.75,far Z6-8,USPS PME / UPS NDA / FedEx Priority,102.00,102.00,102.00,12.30,6.00,127.33,20.00,95.00,-12.33,-10.7,Viable HOT overnight: plate packed hot ≥135F into preheated foam with activated heat packs; seal; same-day carrier pickup before cutoff. Fulfill=127.33.,estimate,hot-ship BOM model 2026-09-22
fulfill_1plate_hot,1plate_hot_gel_heatsink_mid,Uline foam + microwaved gel heat sinks,shipment,,,9.0,15.75x13.8x8.75,mid Z3-5,USPS PME,65.85,65.85,65.85,12.30,3.34,88.52,20.00,65.00,-3.52,-4.1,"Alt hot media using Uline gels as heat sinks. At $65 ship charge mid, thin/negative — raise ship charge to $75 or use lighter liner pack. Still viable with $75 charge.",estimate,model 2026-09-22
fulfill_1plate_hot,1plate_hot_gel_heatsink_mid_charge75,same pack; customer ship $75,shipment,,,9.0,,mid Z3-5,USPS PME,,65.85,,12.30,3.34,88.52,20.00,75.00,6.48,6.8,"With $75 ship charge, hot gel-sink mid turns positive; dinner contribution still embedded",estimate,model 2026-09-22
fulfill_2plate,2plate_cold_foam_near,Uline foam + gels; 2 dinners,shipment,,,12.0,,near,UPS NDA / USPS PME,,45.00,,12.30,5.01,73.71,40.00,59.00,25.29,25.5,2-plate box improves food $ vs ship $ ratio. Fulfill=73.71.,estimate,model 2026-09-22
fulfill_2plate,2plate_cold_foam_mid,Uline foam + gels; 2 dinners,shipment,,,12.0,,mid,UPS NDA / USPS PME,,85.00,,12.30,5.01,113.71,40.00,79.00,5.29,4.4,2-plate box improves food $ vs ship $ ratio. Fulfill=113.71.,estimate,model 2026-09-22
fulfill_2plate,2plate_cold_foam_far,Uline foam + gels; 2 dinners,shipment,,,12.0,,far,UPS NDA / USPS PME,,130.00,,12.30,5.01,158.71,40.00,119.00,0.29,0.2,2-plate box improves food $ vs ship $ ratio. Fulfill=158.71.,estimate,model 2026-09-22
fulfill_4meal,4meal_prep_cold_near,meal-prep cold pack 4 plates,shipment,,,16.0,16.9x16.9x20,near,UPS NDA / FedEx Priority,,55.00,,12.00,6.68,93.48,80.00,49.00,35.52,27.5,Best unit economics for ship: 4 meals share one foam/label. Cold meal-prep primary national path. Fulfill=93.48.,estimate,model 2026-09-22
fulfill_4meal,4meal_prep_cold_mid,meal-prep cold pack 4 plates,shipment,,,16.0,16.9x16.9x20,mid,UPS NDA / FedEx Priority,,95.00,,12.00,6.68,133.48,80.00,69.00,15.52,10.4,Best unit economics for ship: 4 meals share one foam/label. Cold meal-prep primary national path. Fulfill=133.48.,estimate,model 2026-09-22
fulfill_4meal,4meal_prep_cold_far,meal-prep cold pack 4 plates,shipment,,,16.0,16.9x16.9x20,far,UPS NDA / FedEx Priority,,150.00,,12.00,6.68,188.48,80.00,99.00,-9.48,-5.3,Best unit economics for ship: 4 meals share one foam/label. Cold meal-prep primary national path. Fulfill=188.48.,estimate,model 2026-09-22
pricing_rule,free_ship_threshold_4meal,free overnight if cart >= $120,rule,,,,,,,,95.00,,12.00,6.68,128.48,120.00,0.00,-8.48,-7.1,Free ship at 6 plates ($120) mid-zone still tight — prefer free ship at $160 (8 plates) or absorb only near-zone. ESTIMATE.,estimate,promo rule model 2026-09-22
pricing_rule,free_ship_threshold_8meal,free overnight if cart >= $160,rule,,,,,,,,110.00,,14.00,8.00,161.60,160.00,0.00,-1.60,-1.0,8*3.70 + pack14 + media8 + labor5 + label110 = 161.6; break-even-ish free ship — use as marketing threshold mid-zone,estimate,model 2026-09-22
pricing_rule,breakeven_ship_charge_1plate_mid,min charge so profit>=$10,rule,,,,,mid,,,,,,,80.47,20.00,70.47,10.00,11.1,Break-even ship for +$10 profit on liner cold mid: charge ≈ fulfill - menu + 10 = 80.47-20+10 = $70.47. Headline $65 aims closer to cover costs with ~$4-5 profit or use foam+$69.,calculated,calc 2026-09-22
pricing_rule,headline_recommended_ship_charge,1 plate overnight mid-zone,rule,,,,,mid Z3-5 from 90012/90210,,,65.85,,4.25,3.34,80.47,20.00,65.00,4.53,5.3,HEADLINE: $65 customer ship + $20 dinner. Liner cold mid. Covers pack+label; thin but positive; upcharge foam hot to $69-75. Healthy FOOD margin ($16.30) preserved inside $20.,estimate,recommendation 2026-09-22
pricing_rule,customer_pays_ship_always_default,default policy,policy,,,,,,,,,,,,,,65.00,,,Default: customer always pays overnight. Never bury overnight in $20. Website separate checkout line item.,estimate,policy 2026-09-22
happy_hour,spin_1usd_safe_table,house-edge prize wheel,spin,,,,,,,,,,,,0.56,1.00,,0.44,44.0,SAFE TABLE EV: 50% nothing; 25% free bite COGS0.30; 15% free drink COGS0.45; 8% $5 off (70% redeem); 1.5% 50% off (80% redeem); 0.5% free dinner COGS3.50. EV cost~$0.56; edge~$0.44. Optimal during happy hour window.,estimate,prize design 2026-09-22
happy_hour,trivia_promo_code,lower-risk alternative,play,,,,,,,,,,,,0.25,0.00,,,,Trivia for promo code (e.g. $3 off) — no pay-to-win; lower sweepstakes risk. Prefer as default until counsel reviews $1 spin.,estimate,compliance-aware design 2026-09-22
subscription,plate_club_half_off,$10 effective on $20 dinner,plate,,,,,,,,,,,,3.70,10.00,,6.30,63.0,Plate Club: half-off plates. Margin still 63% at mid COGS. Model 4 plates/mo local; ship members pay ship on top. Churn placeholder 8%/mo.,calculated,sub model 2026-09-22
subscription,plate_club_weekly_local,1 plate/week pickup,month,,,,,,,,,,,,14.80,40.00,,25.20,63.0,4 weeks * $10 = $40 rev; COGS $14.80; strong retention economics,calculated,sub model 2026-09-22
rewards,buy5_get6th_75off,loyalty cycle,6_plates,,,,,,,,,,,,22.20,105.00,,82.80,78.9,5*$20 + $5 = $105; vs $120 full = $15 loyalty cost (12.5% of full revenue). Avg sell $17.50. Keep.,calculated,rewards 2026-09-22
tiktok_live,live_drop_conversion,limited drops + tip jar,viewer,,,,,,,,,,,,,20.00,,,,Assumptions: 2-5% of live viewers convert on limited drops; tip jar optional (not food revenue). No deep ads research. Ship live orders need same-day pack cutoff callouts on stream.,estimate,conversion placeholder 2026-09-22
tiktok_live,live_50_plate_pop,Soul Food Pop on live,event,,,,,,,,,,,,185.00,1000.00,,815.00,81.5,50 plates * $20 = $1000; COGS 50*$3.70=$185; local pickup/pop — Phase 1+2 hybrid when live drives preorders,calculated,pop math 2026-09-22
summary,contrib_local_pickup_20,vs mid COGS 3.70,plate,,,,,,,,,,,,3.70,20.00,,16.30,81.5,STAT: Local pickup contribution $16.30 / 81.5% margin,calculated,2026-09-22
summary,contrib_ship_fully_loaded_mid,liner cold + $65 ship paid,plate,,,,,,,,,,,,80.47,20.00,65.00,4.53,5.3,STAT: Fully loaded ship mid with $65 charge → ~$4.53 total profit; food engine still $16.30 inside menu,estimate,2026-09-22
summary,ev_1usd_spin_safe,house edge positive,spin,,,,,,,,,,,,0.56,1.00,,0.44,44.0,STAT: EV of $1 spin under safe table ≈ +$0.44 house edge,estimate,2026-09-22
summary,sub_member_margin_per_plate,50% off,plate,,,,,,,,,,,,3.70,10.00,,6.30,63.0,STAT: Sub member margin $6.30/plate (63%),calculated,2026-09-22
summary,rewards_effective_after_6,avg price $17.50,plate,,,,,,,,,,,,3.70,17.50,,13.80,78.9,STAT: After 6-plate rewards cycle effective discount 12.5% of full revenue; margin still ~79%,calculated,2026-09-22
summary,plates_payback_insulated_inventory,10 shippers @ $12,plates,120.00,,,,,,,,,,,,20.00,,16.30,,STAT: $120 shipper inventory / $16.30 local contrib ≈ 8 plates; or ~10 paid ship orders if pack cost in ship charge,calculated,2026-09-22
checklist,permit_interstate_ship,before paid national ship,flag,,,,,,,,,,,,,,,,,CHECKLIST not blocker: confirm licensed facility/PFR if MEHKO bars mail-order; county EH; CDTFA; labeling. Channel is viable — clear paperwork.,sourced,CA MEHKO materials 2026-09-22
checklist,dry_ice_vs_gel,prefer gel,flag,,,,,,,,,,,,,,,,,"Prefer gel/heat packs. Dry ice needs UN1845, venting, carrier declaration; USPS often unsuitable. Not legal advice.",sourced,UPS/FedEx dry ice guides 2026
checklist,happy_hour_counsel,spin vs trivia,flag,,,,,,,,,,,,,,,,,Counsel review if $1 pay-to-spin; launch with free-spin-with-purchase or trivia. Not legal advice.,estimate,2026-09-22
