category,item,variant_or_source,unit,pack_size,pack_price_usd,unit_cost_usd,qty_per_plate,cost_per_plate_low_usd,cost_per_plate_mid_usd,cost_per_plate_high_usd,suggested_sell_price_usd,sell_price_low_usd,sell_price_high_usd,margin_at_mid_cogs_pct,channel_or_scenario,notes,confidence,source_or_date
greens,collard_or_mustard_greens,fresh wholesale carton,carton,wholesale carton,18.00,,,0.55,0.85,1.50,,,,,wholesale,Fresh wholesale carton signals $11-25; CA bunched ~$22-25; pack mid ~$18,sourced,wholesale market signals; research 2026-09-22
greens,collard_or_mustard_greens,fresh retail bunch,bunch,1 bunch,2.00,2.00,0.35,0.55,0.85,1.50,,,,,retail,Fresh retail bunch ~$1.50-2.50; yield ~1 lb raw → 5-6 oz cooked; serving 4-6 oz cooked,sourced,retail pricing; research 2026-09-22
greens,collard_greens,Glory canned 27 oz,can,27 oz,2.72,2.72,0.22,0.54,0.60,0.68,,,,,canned_path,~4-5 servings per can → ~$0.60/serving mid,sourced,Glory Foods / retail; research 2026-09-22
greens,collard_greens,frozen 12 oz,bag,12 oz,1.54,1.54,0.50,0.70,0.77,0.85,,,,,frozen_path,~2 servings per 12 oz bag → ~$0.77/serving,sourced,retail frozen; research 2026-09-22
greens,greens_serving_band,planning band all sources,serving,4-6 oz cooked,,,1,0.55,0.85,1.50,,,,,planning,Yield ~1 lb raw → 5-6 oz cooked; band per serving low/mid/high,calculated,rollup research 2026-09-22
cornbread,jiffy_mix_piece,Jiffy + egg/milk,piece,1 box,0.72,0.72,1,0.13,0.16,0.19,,,,,mix_path,Jiffy ~$0.72/box plus egg and milk allocated; ~$0.13-0.19 per piece,sourced,Jiffy retail + add-ins; research 2026-09-22
cornbread,scratch_piece,from-scratch cornmeal batter,piece,,,,1,0.15,0.22,0.30,,,,,scratch_path,Scratch cornbread ingredient cost per piece,estimate,research 2026-09-22
cornbread,cornbread_planning_band,planning band,piece,,,,1,0.14,0.20,0.30,,,,,planning,Planning band $0.14 / $0.20 / $0.30 per piece,calculated,rollup research 2026-09-22
seasoning,plate_seasoning_misc,greens pot liquor spices etc,plate,,,,1,0.05,0.10,0.20,,,,,planning,Misc seasoning beyond chicken breading line,estimate,research 2026-09-22
packaging,9x9_3comp_hinged,Webstaurant,each,150 ct,38.00,0.253,1,0.24,0.255,0.27,,,,,takeout,9x9 3-compartment hinged; pack ~$35-41 for 150 ct,sourced,WebstaurantStore; research 2026-09-22
packaging,8.25_clear_hinged,Uline,each,,,0.59,1,0.58,0.59,0.60,,,,,takeout,Uline 8.25 clear hinged; premium look higher cost,sourced,Uline; research 2026-09-22
packaging,foil_9x6_with_lid,Uline,each,,,0.42,1,0.42,0.42,0.42,,,,,takeout_events,Uline foil 9x6 + lid,sourced,Uline; research 2026-09-22
packaging,foil_round_7_with_lid,Uline,each,,,0.30,1,0.30,0.30,0.30,,,,,takeout_events,Uline foil round 7 + lid; lower cost option,sourced,Uline; research 2026-09-22
packaging,utensil_kit,Restaurant Depot,kit,,,0.08,1,0.05,0.08,0.11,,,,,takeout,Fork/knife/spoon/napkin kit RD ~$0.05-0.11,sourced,Restaurant Depot; research 2026-09-22
packaging,wet_wipe,single packet,each,,,0.05,1,0.03,0.05,0.08,,,,,takeout,Wet wipe add-on for fried chicken plates,estimate,research 2026-09-22
packaging,pack_plus_utensils_subtotal,planning band,plate,,,,1,0.34,0.44,0.80,,,,,planning,Container + utensils + wipe subtotal planning band,calculated,rollup research 2026-09-22
capital,insulated_bag,Uline,each,1 bag,31.50,31.50,,0.03,0.03,0.03,,,,,amortized,Insulated bag Uline ~$30-33; amortize over volume,sourced,Uline; research 2026-09-22
capital,chafer_or_carrier,equipment,each,1 unit,95.00,95.00,,0.04,0.10,0.15,,,,,amortized,Chafer/carrier ~$40-150; mid pack ~$95,sourced,equipment quotes; research 2026-09-22
capital,thermometer,food safety probe,each,1 unit,27.50,27.50,,0.02,0.03,0.04,,,,,amortized,Thermometer ~$15-40,sourced,equipment quotes; research 2026-09-22
capital,starter_kit_amortization_example,$120 over 1000 plates,plate,,120.00,,1,0.12,0.12,0.12,,,,,amortized,Example amort $120 capital / 1000 plates = $0.12 per plate,calculated,example amortization 2026-09-22
summary,variable_cogs_per_plate,planning total,plate,,,,1,2.10,2.90,4.40,15.00,12.00,18.00,80.7,planning,All-in variable COGS/plate planning band; margin at $15 sell / $2.90 mid = 80.7%,calculated,rollup research 2026-09-22
summary,chicken_line_detail,line total,plate,,,,1,0.70,1.10,2.50,,,,,planning,Chicken line detail totals (protein+breading+oil),calculated,rollup research 2026-09-22
summary,greens_line_detail,line total,plate,,,,1,0.55,0.85,1.50,,,,,planning,Greens line detail totals,calculated,rollup research 2026-09-22
summary,cornbread_line_detail,line total,plate,,,,1,0.14,0.20,0.30,,,,,planning,Cornbread line detail totals,calculated,rollup research 2026-09-22
summary,seasoning_line_detail,line total,plate,,,,1,0.05,0.10,0.20,,,,,planning,Seasoning line detail totals,calculated,rollup research 2026-09-22
summary,packaging_line_detail,line total,plate,,,,1,0.34,0.44,0.80,,,,,planning,Pack + utensils line detail totals,calculated,rollup research 2026-09-22
summary,food_only_cogs_check,excludes packaging,plate,,,,1,1.44,2.25,4.50,,,,,planning,Food-only approx = chicken+greens+cornbread+seasoning; mid ~2.25 before pack,calculated,rollup research 2026-09-22
pricing,soft_launch_car,car / soft launch channel,plate,,,,1,2.10,2.90,4.40,13.00,12.00,14.00,77.7,soft_launch_car,Soft launch / car pricing $12-14; mid sell $13; margin at mid COGS,estimate,pricing research 2026-09-22
pricing,farmers_market,farmers market stall,plate,,,,1,2.10,2.90,4.40,15.00,14.00,16.00,80.7,farmers_market,Farmers market $14-16; suggested $15,estimate,pricing research 2026-09-22
pricing,events,catered / pop-up events,plate,,,,1,2.10,2.90,4.40,16.50,15.00,18.00,82.4,events,Events $15-18; suggested mid $16.50,estimate,pricing research 2026-09-22
pricing,recommended_start,default launch price,plate,,,,1,2.10,2.90,4.40,15.00,15.00,15.00,80.7,recommended,Recommended start price $15,estimate,pricing research 2026-09-22
pricing,brick_and_mortar_comps,reference only,plate,,,,1,,,,,18.00,25.00,,reference_comps,Brick-and-mortar soul food plate comps $18-25; reference only not Fifi target,sourced,market comps research 2026-09-22
pricing,3x_food_cost_floor_food_only,rule of thumb floor,plate,,,,1,,2.25,,6.75,6.75,6.75,66.7,floor_check,3x food-only mid COGS ~$6.75; TOO LOW for market — floor check only,calculated,3x food cost rule; research 2026-09-22
pricing,3x_food_cost_floor_with_pack,rule of thumb floor,plate,,,,1,,2.70,,8.10,8.10,8.10,66.7,floor_check,3x mid food+pack ~$8.10; TOO LOW for market — floor check only,calculated,3x food cost rule; research 2026-09-22
scenario,depot_path_plate_cogs,Restaurant Depot sourcing,plate,,,,1,2.40,2.60,2.80,15.00,15.00,15.00,82.7,depot_path,Depot path plate COGS ~$2.40-2.80; preferred sourcing economics,calculated,scenario research 2026-09-22
scenario,walmart_path_plate_cogs,Walmart retail sourcing,plate,,,,1,2.90,3.35,3.80,15.00,15.00,15.00,77.7,walmart_path,Walmart path plate COGS ~$2.90-3.80; workable but thinner margin,calculated,scenario research 2026-09-22
scenario,breakeven_plates_day_fixed_50,$15 sell / mid COGS $2.90,plates/day,,,,,2.90,2.90,2.90,15.00,,,80.7,breakeven,Contribution $12.10/plate; at $50/day fixed ≈ 5 plates/day to break even,calculated,breakeven math 2026-09-22
scenario,breakeven_plates_day_fixed_100,$15 sell / mid COGS $2.90,plates/day,,,,,2.90,2.90,2.90,15.00,,,80.7,breakeven,Contribution $12.10/plate; at $100/day fixed ≈ 9 plates/day to break even,calculated,breakeven math 2026-09-22
scenario,breakeven_plates_day_fixed_150,$15 sell / mid COGS $2.90,plates/day,,,,,2.90,2.90,2.90,15.00,,,80.7,breakeven,Contribution $12.10/plate; at $150/day fixed ≈ 13 plates/day to break even,calculated,breakeven math 2026-09-22
scenario,breakeven_plates_day_fixed_200,$15 sell / mid COGS $2.90,plates/day,,,,,2.90,2.90,2.90,15.00,,,80.7,breakeven,Contribution $12.10/plate; at $200/day fixed ≈ 17 plates/day to break even,calculated,breakeven math 2026-09-22
scenario,contribution_margin_at_15,$15 sell vs mid $2.90 COGS,plate,,,,1,2.10,2.90,4.40,15.00,,,80.7,breakeven,Contribution = $15 - $2.90 = $12.10 per plate at mid COGS,calculated,breakeven math 2026-09-22
addon,mashed_potatoes,side add-on estimate,serving,,,,1,0.40,0.60,0.80,2.50,2.00,3.00,76.0,addon,Placeholder COGS $0.40-0.80; sell $2-3,estimate,placeholder estimate 2026-09-22
addon,coffee,beverage placeholder,cup,,,,1,0.25,0.40,0.60,3.00,2.00,4.00,86.7,addon,Placeholder beverage COGS and sell $2-4,estimate,placeholder estimate 2026-09-22
addon,hot_chocolate,beverage placeholder,cup,,,,1,0.30,0.45,0.70,3.00,2.00,4.00,85.0,addon,Placeholder beverage COGS and sell $2-4,estimate,placeholder estimate 2026-09-22
addon,agua_fresca,beverage placeholder,cup,,,,1,0.35,0.50,0.75,3.00,2.00,4.00,83.3,addon,Placeholder beverage COGS and sell $2-4,estimate,placeholder estimate 2026-09-22
sides,candied_sweet_potatoes,Soul Food Pop plate side,serving,,,,1,0.45,0.70,1.00,,,,,plate_include,Candied sweet potatoes included on $20 Fried Chicken Dinner; COGS estimate per serving,estimate,flyer update 2026-09-22
sides,dinner_roll,Soul Food Pop plate side,piece,,,,1,0.15,0.25,0.40,,,,,plate_include,Dinner roll included on $20 Fried Chicken Dinner (replaces cornbread as primary),estimate,flyer update 2026-09-22
scenario,fried_chicken_dinner_sell_20,Soul Food Pop flyer price,plate,,,,1,,,,20.00,,,,flyer_pop,Flyer sell price $20 for Fried Chicken Dinner (2pc chicken + greens + candied sweets + roll); only 50 plates,estimate,flyer update 2026-09-22
pricing,soul_food_pop_dinner_20,Fried Chicken Dinner flyer,plate,,,,1,2.50,3.50,5.00,20.00,20.00,20.00,82.5,soul_food_pop,"Flyer price $20; includes chicken, greens, candied sweets, roll; 50 plate cap",calculated,flyer 2026-09-22
packaging,uline_foam_shipper_12x10x5,Uline S-11356 kit,each,1 kit/ctn est,64.00,64.00,1,8.00,12.00,64.00,,,,,overnight_ship,Uline foam kit list ~$60-64/ctn; mid assumes volume buy / alternate size ~$8-12/unit; primary cold/hot overnight outer,sourced,Uline S-11356; fetched 2026-09-22
packaging,uline_foam_shipper_12x12x11,Uline S-13392 kit,each,1 kit/ctn est,37.00,37.00,1,9.00,12.00,37.00,,,,,overnight_ship,Larger foam kit for 2-4 meal packs; list ~$35-37; mid volume estimate $9-12/unit if multi-pack carton or alt SKU,sourced,Uline S-13392; fetched 2026-09-22
packaging,uline_thermal_box_liner,Uline Cool Shield S-16497,each,25/case,61.00,2.44,1,2.16,2.44,2.44,,,,,overnight_ship,24hr thermal liner; use with corrugated box + gel/heat packs; space-saving vs foam for 1-plate,sourced,Uline insulated box liners; fetched 2026-09-22
packaging,corrugated_mailer_box,Uline/generic small,each,,,1.50,1,1.00,1.50,2.50,,,,,overnight_ship,Outer box when using thermal liner path; estimate $1-2.50,estimate,market estimate 2026-09-22
packaging,gel_pack_32oz,Uline S-14293 cold pack,each,9/case,15.00,1.67,2,2.89,3.34,3.34,,,,,overnight_cold,2x 32oz gel for 1-plate cold overnight; FDA compliant; freeze 72h beforehand,sourced,Uline S-14293 $15/9; fetched 2026-09-22
packaging,gel_pack_16oz_single_use,Uline S-18253,each,18/case,14.00,0.78,3,1.56,2.33,2.33,,,,,overnight_cold,3x 16oz single-use for one-way cold ship; cheaper outbound media,sourced,Uline S-18253 $14/18 min 2 cases; fetched 2026-09-22
packaging,heat_pack_uniheat_style,UniHeat / similar + Uline insulated,each,,,2.25,2,3.00,4.50,6.00,,,,,overnight_hot,Instant heat packs (not Uline SKU; pair with Uline foam/liner). 2 packs typical for overnight hot hold. ESTIMATE.,estimate,third-party heat pack market est 2026-09-22
packaging,uline_gel_as_heat_sink,Uline gel microwaved warm,each,9/case,15.00,1.67,2,2.89,3.34,3.34,,,,,overnight_hot,Uline docs: gel packs heated (microwave low / boil) act as heat sinks for warm ship; viable hot path media,sourced,Uline IS-7361 / cold pack usage notes; 2026-09-22
packaging,ship_labor_minutes,pack seal label,minute,,,0.333,10,2.67,3.33,4.00,,,,,overnight_ship,Labor at $20/hr; 8-12 min pack/seal/label before carrier cutoff,estimate,ops estimate 2026-09-22
summary,fried_chicken_dinner_20_cogs,chicken+greens+sweets+roll+pack,plate,,,,1,2.90,3.70,5.20,20.00,20.00,20.00,81.5,soul_food_pop,Updated mid incl candied sweets ~0.70 + roll ~0.25 vs older cornbread path; contribution $16.30 at mid,calculated,rollup 2026-09-22
scenario,contribution_local_pickup_20,$20 vs mid COGS $3.70,plate,,,,1,2.90,3.70,5.20,20.00,,,81.5,local_pickup,Contribution margin local = $20-$3.70 = $16.30; 50-plate pop still primary Phase 1,calculated,calc 2026-09-22
scenario,contribution_ship_fully_loaded_mid_zone,food+pack+media+labor+label,plate,,,,1,55.00,78.00,120.00,20.00,,,,overnight_ship,Fully loaded fulfill mid ~$78 (food 3.70+pack 10+media 3.5+labor 3.3+label ~57); customer MUST pay ship charge separately — food margin intact on $20,estimate,shipping model 2026-09-22
scenario,recommended_customer_ship_charge_1plate_mid,covers pack+label+margin,shipment,,,,,,,,65.00,59.00,75.00,,overnight_ship,HEADLINE: charge customer $65 ship mid-zone (band $59-75). Covers pack+media+labor+overnight label with buffer; dinner stays $20,estimate,model 2026-09-22
scenario,subscription_half_off_margin,Plate Club $10 effective,plate,,,,1,2.90,3.70,5.20,10.00,10.00,10.00,63.0,subscription,Sub member pays $10; contribution $6.30 at mid COGS $3.70; still healthy; weekly/monthly counts TBD; churn placeholder 8%/mo,calculated,sub model 2026-09-22
scenario,rewards_5plus1_effective_discount,buy 5 full get 6th at 75% off ($5),plate_cycle,,,,6,,3.70,,17.50,,,78.9,rewards,5*$20+$5=$105 over 6 plates → $17.50 avg sell; COGS 6*$3.70=$22.20; profit $82.80; loyalty cost = $15 off vs 6*$20 = 12.5% of full revenue,calculated,rewards model 2026-09-22
scenario,happy_hour_spin_ev_safe_table,$1 spin house-edge table,spin,,,,,,0.56,,1.00,,,44.0,happy_hour,EV prize cost ~$0.56 on $1 → house edge ~$0.44. Prefer free-spin-with-purchase or trivia to reduce gambling/sweepstakes risk (not legal advice),estimate,prize table design 2026-09-22
scenario,plates_to_pay_insulated_inventory,10 foam shippers @ $12 mid,plates,,120.00,,,,,,20.00,,,,overnight_ship,"10 shippers * $12 = $120 inventory; at $16.30 local contribution ≈ 8 plates; if ship channel absorbs pack in ship charge, inventory recovered via first ~10 paid ship orders",calculated,inventory payback 2026-09-22
capital,starter_overnight_ship_kit,10 foam + gel case + labels,kit,starter,175.00,175.00,,,,,,,,,overnight_ship,Est starter: foam kits ~$120 + gel case ~$15 + heat packs ~$25 + tape/labels ~$15 = ~$175,estimate,BOM estimate 2026-09-22
flag,permit_checklist_interstate,MEHKO/CFO vs licensed facility,note,,,,,,,,,,,,compliance,CHECKLIST (not legal advice): MEHKO typically no mail-order; interstate PHF usually needs licensed commercial kitchen / PFR. Do not block channel modeling — clear permit path before paid ship sales.,sourced,CA MEHKO FAQs / Vibekitchen summary 2026-09-22
flag,happy_hour_gambling_flag,pay-to-win $1 spin,note,,,,,,,,,,,,happy_hour,FLAG: $1 spin for prizes may trigger sweepstakes/gambling rules. Safer: free spin with plate purchase; trivia for promo code; counsel review. Not legal advice.,estimate,promo compliance note 2026-09-22
flag,dry_ice_carrier_rules,UN1845 labeling,note,,,,,,,,,,,,overnight_cold,"Prefer gel packs over dry ice for simplicity. If dry ice: UN1845 mark, vented pack, declare to UPS/FedEx; USPS heavily restricted/prohibited for many air paths. Not legal advice.",sourced,UPS/FedEx dry ice guides; ShippingLabel 2026 perishable guide
